Symbol
AAPL
MSFT
AMZN
GOOG
TSLA
BRK-A
JNJ
XOM
WMT
NVDA
META
PG
JPM
V
HD
MA
BAC
DIS
NFLX
CRM
KO
PEP
LMT
FXI
EWZ
ETH-USD
BTC-USD
ADBE
CSCO
INTC
IBM
AMD
QCOM
TXN
AVGO
TSM
ORCL
ABT
TMO
UNH
CVX
MRK
PFE
ABBV
LLY
DHR
LIN
NEE
UPS
RTX
GE
CAT
DE
HON
SBUX
MCD
COST
TGT
LOW
NKE
BA
MMM
GD
AIG
GS
BLK
AXP
SPGI
MDT
BDX
SYK
CI
ANTM
CVS
WBA
MO
PM
CL
KMB
DG
ROST
TJX
CMCSA
T
VZ
TMUS
CHTR
DISCA
DISCK
FOXA
NWSA
NWS
PARA
WBD
LYB
DD
DOW
EMR
ITW
ETN
WM
RSG
NEM
FCX
APD
LIN
ECL
PPG
SHW
ROK
HAL
SLB
COP
PSX
MPC
VLO
DVN
EOG
HES
MRO
FANG
CTRA
PXD
APA
OKE
KMI
WMB
ENB
TRP
BKR
HIG
MET
PRU
AFL
PFG
BEN
IVZ
AMP
NTRS
TROW
BKI
RJF
L
RE
PLD
AMT
CCI
SBAC
EQIX
DLR
IRM
SPG
O
EXR
PSA
AVB
EQR
MAA
UDR
ESS
CPT
ARE
BXP
SLG
VNO
WELL
VTR
PEAK
DOC
DHC
HR
MAC
KIM
BRX
REG
FRT
ADC
NNN
STOR
WPC
SBRA
NHI
CHCT
LTC
GMRE
APLE
IRET
CSR
CUBE
BRG
INVH
SUI
UHT
PDM
BABA
TCEHY
JD
BIDU
PDD
NIO
XPEV
LI
BILI
YUMC
ZTO
EDU
TAL
WB
NTES
SOHU
SINA
IQ
DQ
JKS
CSIQ
SOL
SPWR
FSLR
SEDG
ENPH
RUN
PLUG
FCEL
BLDP
BE
NKLA
WKHS
EH
BYDDF
CHL
CHU
CHA
PTR
SNP
CEO
LFC
TCOM
HTHT
VIPS
MOMO
BZUN
FENG
JRJC
QFIN
TIGR
HUYA
YY
CAN
GDS
KE
BEKE
LX
DADA
TUYA
RLX
YMM
XPEV
LI
NIO
ASHR
MCHI
KWEB
CQQQ
GXC
KBA
FXI
YINN
YANG
XPP
CHAU
CHAD
CWEB
PGJ
CNXT
CXSE
QQQ
DIA
